poi_encode,score,poi_id
0,0.0001022898790612456,3fd66200f964a52000e71ee3
1,0.00010263759765012001,3fd66200f964a52001e81ee3
2,7.616427414344613e-05,3fd66200f964a52003e51ee3
3,0.00010121703793783227,3fd66200f964a52003e71ee3
4,0.00010621504577391702,3fd66200f964a52004e41ee3
5,0.00011813273712557263,3fd66200f964a52004e61ee3
6,7.971785709047196e-05,3fd66200f964a52005e41ee3
7,8.272060538877574e-05,3fd66200f964a52005e71ee3
8,9.002924341633059e-05,3fd66200f964a52005e81ee3
9,0.0001331282234144686,3fd66200f964a52005eb1ee3
10,8.671672540933827e-05,3fd66200f964a52006ea1ee3
11,8.488953150600108e-05,3fd66200f964a52007ea1ee3
12,8.647753012861004e-05,3fd66200f964a52008e31ee3
13,8.669947589898873e-05,3fd66200f964a52008e81ee3
14,0.0001019124944441046,3fd66200f964a52008e91ee3
15,7.815651617357932e-05,3fd66200f964a52008eb1ee3
16,0.00013664833898325058,3fd66200f964a52008f11ee3
17,0.00011371072685970763,3fd66200f964a52009e61ee3
18,9.471373301772907e-05,3fd66200f964a5200ae51ee3
19,0.00015116026287560096,3fd66200f964a5200ae61ee3
20,9.018698541703942e-05,3fd66200f964a5200ae71ee3
21,0.00011839938207949515,3fd66200f964a5200ae91ee3
22,8.223637766249747e-05,3fd66200f964a5200be51ee3
23,7.474629531034742e-05,3fd66200f964a5200ce61ee3
24,0.00012352360790566713,3fd66200f964a5200ce91ee3
25,7.902704800206352e-05,3fd66200f964a5200de61ee3
26,0.0001136540631595054,3fd66200f964a5200de71ee3
27,8.11215131907541e-05,3fd66200f964a5200deb1ee3
28,7.677513064081447e-05,3fd66200f964a5200ee71ee3
29,0.00015055860500585522,3fd66200f964a5200fe41ee3
30,7.603216201726812e-05,3fd66200f964a52010e41ee3
31,9.678264781372138e-05,3fd66200f964a52010e81ee3
32,7.79259249254998e-05,3fd66200f964a52011e81ee3
33,7.518608227152302e-05,3fd66200f964a52011e91ee3
34,8.594817625032575e-05,3fd66200f964a52012e41ee3
35,7.772996798458232e-05,3fd66200f964a52013f11ee3
36,0.00010169409694320377,3fd66200f964a52014e71ee3
37,0.00012929474704252185,3fd66200f964a52014eb1ee3
38,8.619770853749639e-05,3fd66200f964a52015e31ee3
39,7.386508604459834e-05,3fd66200f964a52015e51ee3
40,9.291748129649608e-05,3fd66200f964a52015e91ee3
41,0.00010222146453616806,3fd66200f964a52016e51ee3
42,0.00010441866295728755,3fd66200f964a52017e31ee3
43,8.467536857349074e-05,3fd66200f964a52017e61ee3
44,8.812494625875616e-05,3fd66200f964a52018e51ee3
45,8.035994199463217e-05,3fd66200f964a52018eb1ee3
46,8.075099952323757e-05,3fd66200f964a52019e61ee3
47,0.00010876673465259427,3fd66200f964a52019eb1ee3
48,7.47652319317914e-05,3fd66200f964a5201ae61ee3
49,8.648933650677513e-05,3fd66200f964a5201be41ee3
50,7.835555496086119e-05,3fd66200f964a5201be71ee3
51,8.560486792238818e-05,3fd66200f964a5201de61ee3
